Stock/Index,Open,High,Low,Close,Adj Close,Volume,Date
HDFC Bank,1653,1653.099976,1635,1645.199951,1623.04895,477002,14-07-2023
HDFC Bank,1650,1682.050049,1633.150024,1679.199951,1656.591187,730762,17-07-2023
HDFC Bank,1680,1688.650024,1675.25,1684.849976,1662.165039,153233,19-07-2023
HDFC Bank,1683.699951,1690.949951,1680.650024,1688.5,1665.765991,141558,20-07-2023
HDFC Bank,1680,1690,1672.449951,1675.699951,1653.138306,877267,21-07-2023
HDFC Bank,1676.599976,1684.75,1670.400024,1678.849976,1656.24585,101644,24-07-2023
HDFC Bank,1694.650024,1699.599976,1687.5,1690.349976,1667.591064,93711,26-07-2023
HDFC Bank,1663.949951,1669,1640.449951,1644.800049,1622.654419,769849,28-07-2023
HDFC Bank,1637.050049,1651.050049,1623,1628.699951,1606.771118,312305,03-08-2023
HDFC Bank,1633.300049,1656.650024,1628.699951,1652.800049,1630.546753,765163,04-08-2023
HDFC Bank,1660,1663.5,1647.550049,1651.550049,1629.313477,194272,07-08-2023
HDFC Bank,1653,1656,1642.300049,1650.849976,1628.622925,232871,08-08-2023
HDFC Bank,1652.050049,1653.599976,1631.349976,1650.150024,1627.932373,219501,09-08-2023
HDFC Bank,1649,1654,1631,1636.300049,1614.268799,220067,10-08-2023
HDFC Bank,1639,1639,1616.300049,1619.050049,1597.251099,169969,11-08-2023
HDFC Bank,1610,1614.800049,1600.25,1610.400024,1588.717529,334514,14-08-2023
HDFC Bank,1589,1609.75,1581.949951,1605.800049,1584.179443,307142,16-08-2023
HDFC Bank,1598.900024,1610,1593.800049,1596.900024,1575.399292,133620,17-08-2023
HDFC Bank,1593,1596.75,1585.050049,1591.150024,1569.726685,962584,18-08-2023
HDFC Bank,1595.050049,1599.849976,1586.949951,1589.050049,1567.655029,264240,21-08-2023
HDFC Bank,1596.400024,1598.050049,1580.050049,1582.150024,1560.8479,157180,22-08-2023
HDFC Bank,1581,1592,1573.150024,1586.449951,1565.089966,289501,23-08-2023
HDFC Bank,1593.199951,1595.800049,1575.949951,1578.800049,1557.543091,451590,24-08-2023
HDFC Bank,1576.949951,1576.949951,1557.699951,1561.949951,1540.9198,1176338,25-08-2023
HDFC Bank,1560,1582.550049,1560,1577.699951,1556.457764,2072087,28-08-2023
HDFC Bank,1590.150024,1592.75,1580.599976,1590.300049,1568.888184,455243,29-08-2023
HDFC Bank,1602.349976,1603.5,1573.5,1578.949951,1557.690918,554584,30-08-2023
HDFC Bank,1581.949951,1581.949951,1562.400024,1571.949951,1550.785156,754704,31-08-2023
HDFC Bank,1570,1579.449951,1559.349976,1574.849976,1553.646118,1181899,01-09-2023
HDFC Bank,1583,1590.599976,1575,1584.150024,1562.820923,386830,04-09-2023
HDFC Bank,1588.550049,1589.449951,1571.050049,1575.099976,1553.892822,142318,05-09-2023
HDFC Bank,1575.5,1600,1573.650024,1596.550049,1575.054077,410232,06-09-2023
HDFC Bank,1596.949951,1614,1587.300049,1610.849976,1589.161377,553944,07-09-2023
HDFC Bank,1609,1632.800049,1607.349976,1624.050049,1602.183838,816192,08-09-2023
